"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.365,,
0.050,0.342,-0.45,
0.100,0.320,-0.45,0.0
0.150,0.298,-0.44,0.1
0.200,0.275,-0.44,0.4
0.250,0.254,-0.43,1.6
0.300,0.231,-0.34,3.4
0.350,0.211,-0.07,4.5
0.400,0.217,0.22,3.8
0.450,0.246,0.37,1.9
0.500,0.262,0.36,0.4
0.550,0.278,0.34,0.1
0.600,0.295,0.37,0.3
0.650,0.315,0.39,0.2
0.700,0.335,0.39,-0.1
0.750,0.354,0.37,-0.2
0.800,0.372,0.36,-0.2
0.850,0.390,0.35,-0.1
0.900,0.407,0.35,0.0
0.950,0.425,0.35,0.1
1.000,0.443,0.36,0.1
1.050,0.461,0.36,0.0
1.100,0.479,0.36,-0.1
1.150,0.497,0.35,-0.1
1.200,0.515,0.35,0.0
1.250,0.532,0.35,0.0
1.300,0.550,0.35,0.0
1.350,0.567,0.35,0.0
1.400,0.585,0.35,0.0
1.450,0.603,0.35,0.0
1.500,0.620,0.35,-0.1
1.550,0.638,0.35,0.0
1.600,0.655,0.34,0.0
1.650,0.672,0.35,0.0
1.700,0.689,0.35,0.0
1.750,0.707,0.34,0.0
1.800,0.724,0.34,0.0
1.850,0.741,0.34,0.0
1.900,0.758,0.34,0.0
1.950,0.775,0.34,0.0
2.000,0.792,0.34,0.0
2.050,0.810,0.34,0.0
2.100,0.826,0.34,0.0
2.150,0.843,0.34,0.0
2.200,0.860,0.34,0.0
2.250,0.877,0.34,0.0
2.300,0.894,0.34,0.0
2.350,0.910,0.34,0.0
2.400,0.927,0.33,0.0
2.450,0.944,0.33,0.0
2.500,0.960,0.33,0.0
2.550,0.977,0.33,0.0
2.600,0.994,0.33,0.0
2.650,1.010,0.33,0.0
2.700,1.027,0.33,0.0
2.750,1.043,0.33,0.0
2.800,1.060,0.33,0.0
2.850,1.076,0.33,0.0
2.900,1.093,0.33,0.0
2.950,1.109,0.33,0.0
3.000,1.126,0.33,0.0
3.050,1.142,0.33,7.4E-4
3.100,1.159,0.33,0.0
3.150,1.175,0.33,0.0
3.200,1.191,0.33,0.0
3.250,1.208,0.33,0.0
3.300,1.225,0.33,0.0
3.350,1.240,0.33,0.0
3.400,1.258,0.33,-0.1
3.450,1.273,0.32,-0.1
3.500,1.291,0.32,-0.1
3.550,1.305,0.31,0.0
3.600,1.321,0.32,0.0
3.650,1.337,0.32,0.0
3.700,1.353,0.32,0.0
3.750,1.369,0.32,0.0
3.800,1.385,0.32,0.0
3.850,1.401,0.32,0.0
3.900,1.417,0.32,0.1
3.950,1.433,0.33,0.1
4.000,1.449,0.33,0.0
4.050,1.467,0.33,0.0
4.100,1.483,0.33,-0.1
4.150,1.499,0.32,-0.1
4.200,1.515,0.32,0.0
4.250,1.531,0.32,0.0
4.300,1.547,0.32,0.0
4.350,1.563,0.32,0.0
4.400,1.579,0.32,0.0
4.450,1.595,0.32,0.0
4.500,1.611,0.32,0.1
4.550,1.627,0.33,0.1
4.600,1.643,0.33,0.0
4.650,1.661,0.33,-0.1
4.700,1.677,0.32,-0.1
4.750,1.690,0.31,0.0
4.800,1.708,0.32,0.1
4.850,1.724,0.33,0.0
4.900,1.740,0.32,-0.1
4.950,1.757,0.32,-0.1
5.000,1.772,0.31,-0.1
5.050,1.788,0.31,0.0
5.100,1.803,0.31,0.0
5.150,1.819,0.31,0.0
5.200,1.833,0.32,0.0
5.250,1.851,0.32,-0.1
5.300,1.866,0.31,-0.2
5.350,1.881,0.29,-0.2
5.400,1.895,0.29,-0.2
5.450,1.910,0.28,-0.2
5.500,1.925,0.27,
5.550,1.936,0.24,
5.600,1.949,,
