"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,1.980,,
0.050,1.953,-0.50,
0.100,1.930,-0.50,0.0
0.150,1.905,-0.50,0.0
0.200,1.879,-0.50,0.0
0.250,1.855,-0.50,0.0
0.300,1.830,-0.50,0.0
0.350,1.805,-0.50,0.0
0.400,1.780,-0.50,0.0
0.450,1.755,-0.50,-0.1
0.500,1.730,-0.51,0.0
0.550,1.705,-0.51,0.0
0.600,1.678,-0.50,0.0
0.650,1.656,-0.50,0.0
0.700,1.630,-0.50,0.0
0.750,1.604,-0.51,0.0
0.800,1.579,-0.50,0.1
0.850,1.554,-0.49,0.1
0.900,1.530,-0.49,0.0
0.950,1.505,-0.49,0.0
1.000,1.480,-0.49,-6.1E-4
1.050,1.456,-0.49,0.0
1.100,1.431,-0.49,0.0
1.150,1.407,-0.49,0.0
1.200,1.382,-0.49,0.0
1.250,1.357,-0.49,0.0
1.300,1.333,-0.49,0.0
1.350,1.308,-0.49,0.0
1.400,1.285,-0.49,-0.1
1.450,1.259,-0.50,0.0
1.500,1.234,-0.50,0.0
1.550,1.209,-0.49,0.0
1.600,1.185,-0.49,0.0
1.650,1.160,-0.50,-0.1
1.700,1.135,-0.50,-0.1
1.750,1.110,-0.50,0.0
1.800,1.084,-0.50,0.0
1.850,1.060,-0.50,0.0
1.900,1.035,-0.50,0.0
1.950,1.010,-0.50,0.0
2.000,0.985,-0.50,0.0
2.050,0.960,-0.50,0.0
2.100,0.935,-0.50,0.0
2.150,0.911,-0.50,0.0
2.200,0.886,-0.50,0.0
2.250,0.861,-0.50,0.0
2.300,0.836,-0.49,0.0
2.350,0.812,-0.49,0.0
2.400,0.787,-0.49,0.0
2.450,0.762,-0.49,0.0
2.500,0.737,-0.49,0.0
2.550,0.713,-0.49,0.1
2.600,0.688,-0.49,0.1
2.650,0.665,-0.48,0.1
2.700,0.640,-0.48,0.1
2.750,0.616,-0.48,0.1
2.800,0.593,-0.47,0.1
2.850,0.569,-0.47,0.1
2.900,0.545,-0.47,0.1
