"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,2.009,,
0.050,1.978,-0.63,
0.100,1.946,-0.67,-0.6
0.150,1.912,-0.69,-0.1
0.200,1.874,-0.68,0.4
0.250,1.843,-0.64,0.6
0.300,1.812,-0.60,0.7
0.350,1.781,-0.57,0.5
0.400,1.756,-0.55,0.3
0.450,1.727,-0.55,0.2
0.500,1.700,-0.54,0.2
0.550,1.673,-0.53,0.3
0.600,1.648,-0.51,0.3
0.650,1.621,-0.50,0.4
0.700,1.597,-0.47,0.4
0.750,1.575,-0.45,0.4
0.800,1.553,-0.43,0.4
0.850,1.532,-0.41,0.4
0.900,1.512,-0.39,0.4
0.950,1.493,-0.37,0.4
1.000,1.474,-0.36,0.3
1.050,1.457,-0.34,0.3
1.100,1.440,-0.32,0.4
1.150,1.425,-0.31,0.4
1.200,1.410,-0.29,0.4
1.250,1.396,-0.27,0.4
1.300,1.383,-0.25,0.4
1.350,1.371,-0.23,0.3
1.400,1.360,-0.22,0.4
1.450,1.349,-0.20,0.4
1.500,1.340,-0.18,0.4
1.550,1.332,-0.16,0.4
1.600,1.324,-0.14,0.4
1.650,1.317,-0.12,0.4
1.700,1.312,-0.10,0.4
1.750,1.307,-0.08,0.4
1.800,1.303,-0.07,0.4
1.850,1.300,-0.05,0.4
1.900,1.298,-0.03,0.3
1.950,1.297,-0.01,0.3
2.000,1.297,0.00,0.3
2.050,1.297,0.02,0.3
2.100,1.299,0.04,0.3
2.150,1.301,0.06,0.3
2.200,1.304,0.07,0.4
2.250,1.309,0.09,0.4
2.300,1.314,0.11,0.4
2.350,1.320,0.13,0.4
2.400,1.327,0.15,0.4
2.450,1.335,0.17,0.4
2.500,1.343,0.18,0.4
2.550,1.353,0.20,0.4
2.600,1.364,0.22,0.4
2.650,1.375,0.24,0.4
2.700,1.388,0.26,0.4
2.750,1.401,0.28,0.4
2.800,1.415,0.29,0.4
2.850,1.430,0.31,0.4
2.900,1.447,0.33,0.5
2.950,1.464,0.36,0.5
3.000,1.481,0.39,0.4
3.050,1.504,0.40,0.3
3.100,1.523,0.41,0.2
3.150,1.544,0.42,0.3
3.200,1.565,0.44,0.3
3.250,1.588,0.45,0.3
3.300,1.611,0.47,0.4
3.350,1.633,0.49,0.4
3.400,1.660,0.52,0.4
3.450,1.686,0.54,0.3
3.500,1.714,0.54,0.2
3.550,1.741,0.54,0.2
3.600,1.769,0.56,0.3
3.650,1.795,0.58,0.4
3.700,1.827,0.61,
3.750,1.857,0.61,
3.800,1.888,,
